SNP	CHR	BP	P	POS	GENEID	NEIGHBORGENE	FUNCTION
Chr5_10172992	5	10172992	3.355332e-11	102343838	AT5G28190	NA	NA
Chr1_6148689	1	6148689	1.171374e-11	6148689	AT1G17850	NA	Rhodanese/Cell cycle control phosphatase superfamily protein (EC Rhodanese/Cell cycle control phosphatase superfamily protein)
Chr3_18592228	3	18592228	1.927625e-08	68718188	AT3G50130	NA	Plant protein of unknown function (DUF247) (EC Plant protein of unknown function (DUF247))
Chr1_1493521	1	1493521	9.377403e-08	1493521	AT1G05160	NA	cytochrome P450, family 88, subfamily A, polypeptide 3 (EC cytochrome P450, family 88, subfamily A, polypeptide 3)
Chr1_4128051	1	4128051	1.846375e-07	4128051	AT1G12160	NA	Flavin-binding monooxygenase family protein (EC Flavin-binding monooxygenase family protein)
Chr1_1896873	1	1896873	1.940314e-07	1896873	AT1G06190	NA	Rho termination factor (EC Rho termination factor)
Chr5_7752722	5	7752722	9.944152e-08	99923568	AT5G23080	NA	SWAP (Suppressor-of-White-APricot)/surp domain-containing protein (EC SWAP (Suppressor-of-White-APricot)/surp domain-containing protein)
Chr3_2961857	3	2961857	1.063692e-07	53087817	AT3G09650	NA	Tetratricopeptide repeat (TPR)-like superfamily protein (EC Tetratricopeptide repeat (TPR)-like superfamily protein)
Chr1_9752585	1	9752585	3.138783e-07	9752585	AT1G27980	NA	dihydrosphingosine phosphate lyase (EC dihydrosphingosine phosphate lyase)
Chr2_221352	2	221352	3.040345e-07	30649023	AT2G01490	NA	phytanoyl-CoA dioxygenase (PhyH) family protein (EC phytanoyl-CoA dioxygenase (PhyH) family protein)
Chr2_18868970	2	18868970	1.496633e-07	49296641	AT2G45830	NA	downstream target of AGL15 2 (EC downstream target of AGL15 2)
Chr1_9494506	1	9494506	6.575155e-07	9494506	AT1G27330	NA	Ribosome associated membrane protein RAMP4 (EC Ribosome associated membrane protein RAMP4)
Chr2_5084182	2	5084182	4.756535e-07	35511853	NA	NA	NA
Chr3_10660281	3	10660281	1.274524e-06	60786241	NA	NA	NA
Chr1_9749392	1	9749392	6.145387e-07	9749392	AT1G27980	NA	dihydrosphingosine phosphate lyase (EC dihydrosphingosine phosphate lyase)
Chr1_11266302	1	11266302	5.286162e-07	11266302	AT1G31470	NA	Major facilitator superfamily protein (EC Major facilitator superfamily protein)
Chr1_11584667	1	11584667	4.279083e-07	11584667	NA	NA	NA
Chr3_14678412	3	14678412	4.555866e-07	64804372	NA	NA	NA
Chr5_21034950	5	21034950	6.901226e-06	113205796	AT5G51780	NA	basic helix-loop-helix (bHLH) DNA-binding superfamily protein (EC basic helix-loop-helix (bHLH) DNA-binding superfamily protein)
Chr5_3804982	5	3804982	1.014054e-06	95975828	NA	NA	NA
Chr3_12585502	3	12585502	1.137427e-06	62711462	NA	NA	NA
Chr3_14872408	3	14872408	1.416363e-06	64998368	AT3G42780	NA	NA
Chr3_6482583	3	6482583	2.297508e-06	56608543	NA	NA	NA
Chr5_8122577	5	8122577	7.979751e-06	100293423	AT5G24030	NA	SLAC1 homologue 3 (EC SLAC1 homologue 3)
Chr1_23467440	1	23467440	1.341816e-06	23467440	AT1G63250	NA	DEA(D/H)-box RNA helicase family protein (EC DEA(D/H)-box RNA helicase family protein)
Chr2_11146981	2	11146981	1.616513e-05	41574652	AT2G26180	NA	IQ-domain 6 (EC IQ-domain 6)
Chr2_5448107	2	5448107	2.376081e-06	35875778	NA	NA	NA
Chr4_13152199	4	13152199	3.265027e-06	86737989	AT4G25870	NA	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (EC Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein)
Chr3_1714748	3	1714748	2.682610e-06	51840708	AT3G05770	NA	NA
Chr5_15880163	5	15880163	6.805203e-06	108051009	AT5G39660	NA	cycling DOF factor 2 (EC cycling DOF factor 2)
Chr3_12370695	3	12370695	2.963027e-06	62496655	NA	NA	NA
Chr3_18150591	3	18150591	4.632140e-06	68276551	AT3G48950	NA	Pectin lyase-like superfamily protein (EC Pectin lyase-like superfamily protein)
Chr4_13684715	4	13684715	2.071492e-05	87270505	AT4G27330	NA	sporocyteless (SPL) (EC sporocyteless (SPL))
Chr3_12630511	3	12630511	4.031763e-06	62756471	AT3G30849	NA	NA
Chr5_9356534	5	9356534	2.090842e-05	101527380	AT5G26622	NA	Beta-galactosidase related protein (EC Beta-galactosidase related protein)
Chr1_16745533	1	16745533	4.882243e-06	16745533	NA	NA	NA
Chr1_11929783	1	11929783	1.737493e-05	11929783	AT1G32920	NA	NA
Chr3_1069095	3	1069095	5.269681e-06	51195055	NA	NA	NA
Chr5_23912983	5	23912983	9.048520e-06	116083829	AT5G59270	NA	Concanavalin A-like lectin protein kinase family protein (EC Concanavalin A-like lectin protein kinase family protein)
Chr5_8071371	5	8071371	1.460049e-05	100242217	AT5G23910	NA	ATP binding microtubule motor family protein (EC ATP binding microtubule motor family protein)
Chr3_18499437	3	18499437	2.650223e-05	68625397	AT3G49890	NA	NA
Chr1_13868925	1	13868925	5.932411e-06	13868925	AT1G36675	NA	glycine-rich protein (EC glycine-rich protein)
Chr5_3654153	5	3654153	8.175358e-06	95824999	AT5G11440	NA	CTC-interacting domain 5 (EC CTC-interacting domain 5)
Chr1_11697579	1	11697579	7.136921e-06	11697579	AT1G32415	NA	pentatricopeptide (PPR) repeat-containing protein (EC pentatricopeptide (PPR) repeat-containing protein)
Chr2_10845750	2	10845750	4.682512e-05	41273421	AT2G25480	NA	TPX2 (targeting protein for Xklp2) protein family (EC TPX2 (targeting protein for Xklp2) protein family)
Chr2_13683596	2	13683596	3.837779e-05	44111267	AT2G32230	NA	proteinaceous RNase P 1 (EC proteinaceous RNase P 1)
Chr2_13670875	2	13670875	4.888149e-05	44098546	AT2G32170	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (EC S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)
Chr3_12583472	3	12583472	1.429115e-05	62709432	NA	NA	NA
Chr1_16544931	1	16544931	4.359212e-05	16544931	NA	NA	NA
Chr4_13412960	4	13412960	1.748857e-05	86998750	AT4G26570	NA	calcineurin B-like 3 (EC calcineurin B-like 3)
Chr3_10658466	3	10658466	3.229311e-05	60784426	NA	NA	NA
Chr3_10662501	3	10662501	3.229311e-05	60788461	AT3G28430	NA	NA
Chr2_13687233	2	13687233	2.460100e-05	44114904	AT2G32235	NA	NA
Chr1_19787161	1	19787161	2.175789e-05	19787161	AT1G53090	NA	SPA1-related 4 (EC SPA1-related 4)
Chr5_11172796	5	11172796	1.690308e-05	103343642	NA	NA	NA
Chr3_14909438	3	14909438	1.064700e-05	65035398	NA	NA	NA
Chr5_16794719	5	16794719	1.864748e-05	108965565	AT5G41980	NA	NA
